QueryName	ReferenceStart	ReferenceEnd	PrimerPair	Primer1	Primer1Start	Primer2	Primer2Start	IsSecondary	IsSupplementary	Start	End	CorrectlyPaired
c5e9009d-d2f5-49dd-81ed-64d0e64d9146	642	1071	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	7	rabvPeru2_3_RIGHT	4	False	False	649	1075	1
5f03cf2e-6aa2-4ae2-b2c1-adf844daa31e	642	1071	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	7	rabvPeru2_3_RIGHT	4	False	False	649	1075	1
b10704d0-1bfa-4080-8851-084404410fe0	643	1076	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	6	rabvPeru2_3_RIGHT	1	False	False	649	1075	1
44848337-4c8e-4d36-b50b-3ea34b0ebfe9	643	1051	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	6	rabvPeru2_3_RIGHT	24	False	False	649	1075	1
16e1826d-b8e1-426b-90c9-1241416a1058	644	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	5	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
05d9e9c2-06ca-40d6-9029-2431ec427119	645	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
43c891e9-5949-4372-bb39-5bacde753625	645	1067	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	8	False	False	649	1075	1
ca66ea13-cca0-4491-af31-ea00b65f7e40	645	1074	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	1	False	False	649	1075	1
ae67834e-0277-4e11-b601-0d555300d11e	645	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
54073c7f-c03c-4d3e-936c-c86f72694d86	645	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
f7bc6eac-5fe2-4f3c-8066-b5d8dd92c07b	645	1074	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	1	False	False	649	1075	1
76abdc7b-b4e8-493e-8071-40875df06a3a	645	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
1bdeab15-6f02-4172-9b4b-346e569aa2a2	645	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
796aab9d-3ac3-4b1b-92c8-e3c61e97d678	645	1075	rabvPeru2_3_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_3_LEFT	4	rabvPeru2_3_RIGHT	0	False	False	649	1075	1
